"Link","ModelName","LandUse","Solution","Node","difference","difference_perc","Type"
"Residential->Nutrients","Sims_Mod_6","Industrial","source","Industrial",0,0,"source"
"Residential->Sediment","Sims_Mod_7","Industrial","source","Industrial",0,0,"source"
"Residential->Bacteria","Sims_Mod_8","Industrial","source","Industrial",0,0,"source"
"Industrial->Sediment","Sims_Mod_9","Industrial","source","Industrial",0,0,"source"
"Industrial->Flooding","Sims_Mod_10","Industrial","source","Industrial",0,0,"source"
"Flooding->Bacteria","Sims_Mod_11","Industrial","source","Industrial",0,0,"source"
"Flooding-*Salmon","Sims_Mod_12","Industrial","source","Industrial",0,0,"source"
"Water quality->Salmon","Sims_Mod_13","Industrial","source","Industrial",0,0,"source"
"Air quality->Physical health","Sims_Mod_14","Industrial","source","Industrial",0,0,"source"
"Urban heat island-*Physical health","Sims_Mod_15","Industrial","source","Industrial",0,0,"source"
"Nutrients-*Water quality","Sims_Mod_16","Industrial","source","Industrial",0,0,"source"
"Flooding->Sediment","Sims_Mod_17","Industrial","source","Industrial",0,0,"source"
"Sediment-*Water quality","Sims_Mod_18","Industrial","source","Industrial",0,0,"source"
"Mental health->Physical health","Sims_Mod_19","Industrial","source","Industrial",0,0,"source"
"Water quality->Physical health","Sims_Mod_20","Industrial","source","Industrial",0,0,"source"
"Social cohesion->Mental health","Sims_Mod_21","Industrial","source","Industrial",0,0,"source"
"Toxics-*Physical health","Sims_Mod_22","Industrial","source","Industrial",0,0,"source"
"Biodiversity->Salmon","Sims_Mod_23","Industrial","source","Industrial",0,0,"source"
"Urban heat island-*Biodiversity","Sims_Mod_24","Industrial","source","Industrial",0,0,"source"
"Bacteria-*Physical health","Sims_Mod_25","Industrial","source","Industrial",0,0,"source"
"Air quality->Social cohesion","Sims_Mod_26","Industrial","source","Industrial",0,0,"source"
"Access to nature->Social cohesion","Sims_Mod_27","Industrial","source","Industrial",0,0,"source"
"Transportation->Noise","Sims_Mod_28","Industrial","source","Industrial",0,0,"source"
"Water quality->Biodiversity","Sims_Mod_29","Industrial","source","Industrial",0,0,"source"
"Noise-*Biodiversity","Sims_Mod_30","Industrial","source","Industrial",0,0,"source"
"Salmon->Physical health","Sims_Mod_31","Industrial","source","Industrial",0,0,"source"
"Climate mitigation->Salmon","Sims_Mod_32","Industrial","source","Industrial",0,0,"source"
"Climate mitigation-*Water temperature","Sims_Mod_33","Industrial","source","Industrial",0,0,"source"
"Climate mitigation->Biodiversity","Sims_Mod_34","Industrial","source","Industrial",0,0,"source"
"Access to nature->Physical health","Sims_Mod_35","Industrial","source","Industrial",0,0,"source"
"Flooding-*Air quality","Sims_Mod_36","Industrial","source","Industrial",0,0,"source"
"Industrial->Noise","Sims_Mod_37","Industrial","source","Industrial",0,0,"source"
"Transportation-*Air quality","Sims_Mod_38","Industrial","source","Industrial",0,0,"source"
"Economic wellbeing->Physical health","Sims_Mod_39","Industrial","source","Industrial",0,0,"source"
"Affordability->Economic wellbeing","Sims_Mod_40","Industrial","source","Industrial",0,0,"source"
"Access to nature-*Affordability","Sims_Mod_41","Industrial","source","Industrial",0,0,"source"
"Local foods->Social cohesion","Sims_Mod_42","Industrial","source","Industrial",0,0,"source"
"Salmon->Local foods","Sims_Mod_43","Industrial","source","Industrial",0,0,"source"
"Water quality->Local foods","Sims_Mod_44","Industrial","source","Industrial",0,0,"source"
"Toxics-*Water quality","Sims_Mod_45","Industrial","source","Industrial",0,0,"source"
"Local foods->Physical health","Sims_Mod_46","Industrial","source","Industrial",0,0,"source"
"Water quality->Social cohesion","Sims_Mod_47","Industrial","source","Industrial",0,0,"source"
"Local jobs->Economic wellbeing","Sims_Mod_48","Industrial","source","Industrial",0,0,"source"
"Walkability->Climate mitigation","Sims_Mod_49","Industrial","source","Industrial",0,0,"source"
"Walkability->Affordability","Sims_Mod_50","Industrial","source","Industrial",0,0,"source"
"Access to nature->Walkability","Sims_Mod_51","Industrial","source","Industrial",0,0,"source"
"Walkability->Social cohesion","Sims_Mod_52","Industrial","source","Industrial",0,0,"source"
"Walkability->Air quality","Sims_Mod_53","Industrial","source","Industrial",0,0,"source"
"Walkability-*Noise","Sims_Mod_54","Industrial","source","Industrial",0,0,"source"
"Industrial->Water temperature","Sims_Mod_55","Industrial","source","Industrial",0,0,"source"
"Toxics-*Biodiversity","Sims_Mod_56","Industrial","source","Industrial",0,0,"source"
"Noise-*Physical health","Sims_Mod_57","Industrial","source","Industrial",0,0,"source"
"Access to nature->Mental health","Sims_Mod_58","Industrial","source","Industrial",0,0,"source"
"Local foods->Affordability","Sims_Mod_59","Industrial","source","Industrial",0,0,"source"
"Water temperature-*Water quality","Sims_Mod_60","Industrial","source","Industrial",0,0,"source"
"Bacteria-*Water quality","Sims_Mod_61","Industrial","source","Industrial",0,0,"source"
"Bacteria-*Local foods","Sims_Mod_62","Industrial","source","Industrial",0,0,"source"
"Walkability->Physical health","Sims_Mod_63","Industrial","source","Industrial",0,0,"source"
"Flooding-*Property value","Sims_Mod_64","Industrial","source","Industrial",0,0,"source"
"Property value-*Affordability","Sims_Mod_65","Industrial","source","Industrial",0,0,"source"
"Noise-*Property value","Sims_Mod_66","Industrial","source","Industrial",0,0,"source"
"Access to nature->Property value","Sims_Mod_67","Industrial","source","Industrial",0,0,"source"
"Industrial-*Property value","Sims_Mod_68","Industrial","source","Industrial",0,0,"source"
"Transportation->Property value","Sims_Mod_69","Industrial","source","Industrial",0,0,"source"
"Walkability->Property value","Sims_Mod_70","Industrial","source","Industrial",0,0,"source"
"Property value->Economic wellbeing","Sims_Mod_71","Industrial","source","Industrial",0,0,"source"
"Local jobs->Property value","Sims_Mod_72","Industrial","source","Industrial",0,0,"source"
"Gray infrastructure-*Flooding","Sims_Mod_73","Industrial","source","Industrial",0,0,"source"
"Gray infrastructure-*Sediment","Sims_Mod_74","Industrial","source","Industrial",0,0,"source"
"Gray infrastructure-*Toxics","Sims_Mod_75","Industrial","source","Industrial",0,0,"source"
"Green infrastructure-*Toxics","Sims_Mod_76","Industrial","source","Industrial",0,0,"source"
"Green infrastructure->Access to nature","Sims_Mod_77","Industrial","source","Industrial",0,0,"source"
"Green infrastructure->Climate mitigation","Sims_Mod_78","Industrial","source","Industrial",0,0,"source"
"Green infrastructure-*Noise","Sims_Mod_79","Industrial","source","Industrial",0,0,"source"
"Gray infrastructure->Local jobs","Sims_Mod_80","Industrial","source","Industrial",0,0,"source"
"Green infrastructure->Local jobs","Sims_Mod_81","Industrial","source","Industrial",0,0,"source"
"Source control-*Toxics","Sims_Mod_82","Industrial","source","Industrial",0,0,"source"
"Green infrastructure-*Flooding","Sims_Mod_83","Industrial","source","Industrial",0,0,"source"
"Green infrastructure->Air quality","Sims_Mod_84","Industrial","source","Industrial",0,0,"source"
"Green infrastructure-*Urban heat island","Sims_Mod_85","Industrial","source","Industrial",0,0,"source"
"Toxics-*Salmon","Sims_Mod_86","Industrial","source","Industrial",0,0,"source"
"Noise-*Mental health","Sims_Mod_87","Industrial","source","Industrial",0,0,"source"
"Urban heat island->Water temperature","Sims_Mod_88","Industrial","source","Industrial",0,0,"source"
"Economic wellbeing->Mental health","Sims_Mod_89","Industrial","source","Industrial",0,0,"source"
"Biodiversity->Local foods","Sims_Mod_90","Industrial","source","Industrial",0,0,"source"
"Local jobs->Social cohesion","Sims_Mod_91","Industrial","source","Industrial",0,0,"source"
"Access to nature->Local foods","Sims_Mod_92","Industrial","source","Industrial",0,0,"source"
"Local foods->Mental health","Sims_Mod_93","Industrial","source","Industrial",0,0,"source"
"Noise-*Social cohesion","Sims_Mod_94","Industrial","source","Industrial",0,0,"source"
"Industrial-*Air quality","Sims_Mod_95","Industrial","source","Industrial",0,0,"source"
"Industrial->Local jobs","Sims_Mod_96","Industrial","source","Industrial",0,0,"source"
"Climate mitigation-*Urban heat island","Sims_Mod_97","Industrial","source","Industrial",0,0,"source"
"Industrial->Urban heat island","Sims_Mod_98","Industrial","source","Industrial",0,0,"source"
"Transportation->Urban heat island","Sims_Mod_99","Industrial","source","Industrial",0,0,"source"
"Green infrastructure-*Sediment","Sims_Mod_100","Industrial","source","Industrial",0,0,"source"
"Physical health->Mental health","Sims_Mod_101","Industrial","source","Industrial",0,0,"source"
"Salmon->Biodiversity","Sims_Mod_102","Industrial","source","Industrial",0,0,"source"
"Physical health->Economic wellbeing","Sims_Mod_103","Industrial","source","Industrial",0,0,"source"
"Economic wellbeing->Affordability","Sims_Mod_104","Industrial","source","Industrial",0,0,"source"
"Mental health->Economic wellbeing","Sims_Mod_105","Industrial","source","Industrial",0,0,"source"
"Residential->Toxics","Sims_Mod_1","Industrial","gray","Industrial",0,0,"source"
"Industrial->Toxics","Sims_Mod_2","Industrial","gray","Industrial",0,0,"source"
"Transportation->Toxics","Sims_Mod_3","Industrial","gray","Industrial",0,0,"source"
"Transportation->Water temperature","Sims_Mod_4","Industrial","gray","Industrial",0,0,"source"
"Transportation->Flooding","Sims_Mod_5","Industrial","gray","Industrial",0,0,"source"
"Residential->Nutrients","Sims_Mod_6","Industrial","gray","Industrial",0,0,"source"
"Residential->Sediment","Sims_Mod_7","Industrial","gray","Industrial",0,0,"source"
"Residential->Bacteria","Sims_Mod_8","Industrial","gray","Industrial",0,0,"source"
"Industrial->Sediment","Sims_Mod_9","Industrial","gray","Industrial",0,0,"source"
"Industrial->Flooding","Sims_Mod_10","Industrial","gray","Industrial",0,0,"source"
"Flooding->Bacteria","Sims_Mod_11","Industrial","gray","Industrial",0,0,"source"
"Flooding-*Salmon","Sims_Mod_12","Industrial","gray","Industrial",0,0,"source"
"Water quality->Salmon","Sims_Mod_13","Industrial","gray","Industrial",0,0,"source"
"Air quality->Physical health","Sims_Mod_14","Industrial","gray","Industrial",0,0,"source"
"Urban heat island-*Physical health","Sims_Mod_15","Industrial","gray","Industrial",0,0,"source"
"Nutrients-*Water quality","Sims_Mod_16","Industrial","gray","Industrial",0,0,"source"
"Flooding->Sediment","Sims_Mod_17","Industrial","gray","Industrial",0,0,"source"
"Sediment-*Water quality","Sims_Mod_18","Industrial","gray","Industrial",0,0,"source"
"Mental health->Physical health","Sims_Mod_19","Industrial","gray","Industrial",0,0,"source"
"Water quality->Physical health","Sims_Mod_20","Industrial","gray","Industrial",0,0,"source"
"Social cohesion->Mental health","Sims_Mod_21","Industrial","gray","Industrial",0,0,"source"
"Toxics-*Physical health","Sims_Mod_22","Industrial","gray","Industrial",0,0,"source"
"Biodiversity->Salmon","Sims_Mod_23","Industrial","gray","Industrial",0,0,"source"
"Urban heat island-*Biodiversity","Sims_Mod_24","Industrial","gray","Industrial",0,0,"source"
"Bacteria-*Physical health","Sims_Mod_25","Industrial","gray","Industrial",0,0,"source"
"Air quality->Social cohesion","Sims_Mod_26","Industrial","gray","Industrial",0,0,"source"
"Access to nature->Social cohesion","Sims_Mod_27","Industrial","gray","Industrial",0,0,"source"
"Transportation->Noise","Sims_Mod_28","Industrial","gray","Industrial",0,0,"source"
"Water quality->Biodiversity","Sims_Mod_29","Industrial","gray","Industrial",0,0,"source"
"Noise-*Biodiversity","Sims_Mod_30","Industrial","gray","Industrial",0,0,"source"
"Salmon->Physical health","Sims_Mod_31","Industrial","gray","Industrial",0,0,"source"
"Climate mitigation->Salmon","Sims_Mod_32","Industrial","gray","Industrial",0,0,"source"
"Climate mitigation-*Water temperature","Sims_Mod_33","Industrial","gray","Industrial",0,0,"source"
"Climate mitigation->Biodiversity","Sims_Mod_34","Industrial","gray","Industrial",0,0,"source"
"Access to nature->Physical health","Sims_Mod_35","Industrial","gray","Industrial",0,0,"source"
"Flooding-*Air quality","Sims_Mod_36","Industrial","gray","Industrial",0,0,"source"
"Industrial->Noise","Sims_Mod_37","Industrial","gray","Industrial",0,0,"source"
"Transportation-*Air quality","Sims_Mod_38","Industrial","gray","Industrial",0,0,"source"
"Economic wellbeing->Physical health","Sims_Mod_39","Industrial","gray","Industrial",0,0,"source"
"Affordability->Economic wellbeing","Sims_Mod_40","Industrial","gray","Industrial",0,0,"source"
"Access to nature-*Affordability","Sims_Mod_41","Industrial","gray","Industrial",0,0,"source"
"Local foods->Social cohesion","Sims_Mod_42","Industrial","gray","Industrial",0,0,"source"
"Salmon->Local foods","Sims_Mod_43","Industrial","gray","Industrial",0,0,"source"
"Water quality->Local foods","Sims_Mod_44","Industrial","gray","Industrial",0,0,"source"
"Toxics-*Water quality","Sims_Mod_45","Industrial","gray","Industrial",0,0,"source"
"Local foods->Physical health","Sims_Mod_46","Industrial","gray","Industrial",0,0,"source"
"Water quality->Social cohesion","Sims_Mod_47","Industrial","gray","Industrial",0,0,"source"
"Local jobs->Economic wellbeing","Sims_Mod_48","Industrial","gray","Industrial",0,0,"source"
"Walkability->Climate mitigation","Sims_Mod_49","Industrial","gray","Industrial",0,0,"source"
"Walkability->Affordability","Sims_Mod_50","Industrial","gray","Industrial",0,0,"source"
"Access to nature->Walkability","Sims_Mod_51","Industrial","gray","Industrial",0,0,"source"
"Walkability->Social cohesion","Sims_Mod_52","Industrial","gray","Industrial",0,0,"source"
"Walkability->Air quality","Sims_Mod_53","Industrial","gray","Industrial",0,0,"source"
"Walkability-*Noise","Sims_Mod_54","Industrial","gray","Industrial",0,0,"source"
"Industrial->Water temperature","Sims_Mod_55","Industrial","gray","Industrial",0,0,"source"
"Toxics-*Biodiversity","Sims_Mod_56","Industrial","gray","Industrial",0,0,"source"
"Noise-*Physical health","Sims_Mod_57","Industrial","gray","Industrial",0,0,"source"
"Access to nature->Mental health","Sims_Mod_58","Industrial","gray","Industrial",0,0,"source"
"Local foods->Affordability","Sims_Mod_59","Industrial","gray","Industrial",0,0,"source"
"Water temperature-*Water quality","Sims_Mod_60","Industrial","gray","Industrial",0,0,"source"
"Bacteria-*Water quality","Sims_Mod_61","Industrial","gray","Industrial",0,0,"source"
"Bacteria-*Local foods","Sims_Mod_62","Industrial","gray","Industrial",0,0,"source"
"Walkability->Physical health","Sims_Mod_63","Industrial","gray","Industrial",0,0,"source"
"Flooding-*Property value","Sims_Mod_64","Industrial","gray","Industrial",0,0,"source"
"Property value-*Affordability","Sims_Mod_65","Industrial","gray","Industrial",0,0,"source"
"Noise-*Property value","Sims_Mod_66","Industrial","gray","Industrial",0,0,"source"
"Access to nature->Property value","Sims_Mod_67","Industrial","gray","Industrial",0,0,"source"
"Industrial-*Property value","Sims_Mod_68","Industrial","gray","Industrial",0,0,"source"
"Transportation->Property value","Sims_Mod_69","Industrial","gray","Industrial",0,0,"source"
"Walkability->Property value","Sims_Mod_70","Industrial","gray","Industrial",0,0,"source"
"Property value->Economic wellbeing","Sims_Mod_71","Industrial","gray","Industrial",0,0,"source"
"Local jobs->Property value","Sims_Mod_72","Industrial","gray","Industrial",0,0,"source"
"Gray infrastructure-*Flooding","Sims_Mod_73","Industrial","gray","Industrial",0,0,"source"
"Gray infrastructure-*Sediment","Sims_Mod_74","Industrial","gray","Industrial",0,0,"source"
"Gray infrastructure-*Toxics","Sims_Mod_75","Industrial","gray","Industrial",0,0,"source"
"Green infrastructure-*Toxics","Sims_Mod_76","Industrial","gray","Industrial",0,0,"source"
"Green infrastructure->Access to nature","Sims_Mod_77","Industrial","gray","Industrial",0,0,"source"
"Green infrastructure->Climate mitigation","Sims_Mod_78","Industrial","gray","Industrial",0,0,"source"
"Green infrastructure-*Noise","Sims_Mod_79","Industrial","gray","Industrial",0,0,"source"
"Gray infrastructure->Local jobs","Sims_Mod_80","Industrial","gray","Industrial",0,0,"source"
"Green infrastructure->Local jobs","Sims_Mod_81","Industrial","gray","Industrial",0,0,"source"
"Source control-*Toxics","Sims_Mod_82","Industrial","gray","Industrial",0,0,"source"
"Green infrastructure-*Flooding","Sims_Mod_83","Industrial","gray","Industrial",0,0,"source"
"Green infrastructure->Air quality","Sims_Mod_84","Industrial","gray","Industrial",0,0,"source"
"Green infrastructure-*Urban heat island","Sims_Mod_85","Industrial","gray","Industrial",0,0,"source"
"Toxics-*Salmon","Sims_Mod_86","Industrial","gray","Industrial",0,0,"source"
"Noise-*Mental health","Sims_Mod_87","Industrial","gray","Industrial",0,0,"source"
"Urban heat island->Water temperature","Sims_Mod_88","Industrial","gray","Industrial",0,0,"source"
"Economic wellbeing->Mental health","Sims_Mod_89","Industrial","gray","Industrial",0,0,"source"
"Biodiversity->Local foods","Sims_Mod_90","Industrial","gray","Industrial",0,0,"source"
"Local jobs->Social cohesion","Sims_Mod_91","Industrial","gray","Industrial",0,0,"source"
"Access to nature->Local foods","Sims_Mod_92","Industrial","gray","Industrial",0,0,"source"
"Local foods->Mental health","Sims_Mod_93","Industrial","gray","Industrial",0,0,"source"
"Noise-*Social cohesion","Sims_Mod_94","Industrial","gray","Industrial",0,0,"source"
"Industrial-*Air quality","Sims_Mod_95","Industrial","gray","Industrial",0,0,"source"
"Industrial->Local jobs","Sims_Mod_96","Industrial","gray","Industrial",0,0,"source"
"Climate mitigation-*Urban heat island","Sims_Mod_97","Industrial","gray","Industrial",0,0,"source"
"Industrial->Urban heat island","Sims_Mod_98","Industrial","gray","Industrial",0,0,"source"
"Transportation->Urban heat island","Sims_Mod_99","Industrial","gray","Industrial",0,0,"source"
"Green infrastructure-*Sediment","Sims_Mod_100","Industrial","gray","Industrial",0,0,"source"
"Physical health->Mental health","Sims_Mod_101","Industrial","gray","Industrial",0,0,"source"
"Salmon->Biodiversity","Sims_Mod_102","Industrial","gray","Industrial",0,0,"source"
"Physical health->Economic wellbeing","Sims_Mod_103","Industrial","gray","Industrial",0,0,"source"
"Economic wellbeing->Affordability","Sims_Mod_104","Industrial","gray","Industrial",0,0,"source"
"Mental health->Economic wellbeing","Sims_Mod_105","Industrial","gray","Industrial",0,0,"source"
"Residential->Toxics","Sims_Mod_1","Industrial","green","Industrial",0,0,"source"
"Industrial->Toxics","Sims_Mod_2","Industrial","green","Industrial",0,0,"source"
"Transportation->Toxics","Sims_Mod_3","Industrial","green","Industrial",0,0,"source"
"Transportation->Water temperature","Sims_Mod_4","Industrial","green","Industrial",0,0,"source"
"Transportation->Flooding","Sims_Mod_5","Industrial","green","Industrial",0,0,"source"
"Residential->Nutrients","Sims_Mod_6","Industrial","green","Industrial",0,0,"source"
"Residential->Sediment","Sims_Mod_7","Industrial","green","Industrial",0,0,"source"
"Residential->Bacteria","Sims_Mod_8","Industrial","green","Industrial",0,0,"source"
"Industrial->Sediment","Sims_Mod_9","Industrial","green","Industrial",0,0,"source"
"Industrial->Flooding","Sims_Mod_10","Industrial","green","Industrial",0,0,"source"
"Flooding->Bacteria","Sims_Mod_11","Industrial","green","Industrial",0,0,"source"
"Flooding-*Salmon","Sims_Mod_12","Industrial","green","Industrial",0,0,"source"
"Water quality->Salmon","Sims_Mod_13","Industrial","green","Industrial",0,0,"source"
"Air quality->Physical health","Sims_Mod_14","Industrial","green","Industrial",0,0,"source"
"Urban heat island-*Physical health","Sims_Mod_15","Industrial","green","Industrial",0,0,"source"
"Nutrients-*Water quality","Sims_Mod_16","Industrial","green","Industrial",0,0,"source"
"Flooding->Sediment","Sims_Mod_17","Industrial","green","Industrial",0,0,"source"
"Sediment-*Water quality","Sims_Mod_18","Industrial","green","Industrial",0,0,"source"
"Mental health->Physical health","Sims_Mod_19","Industrial","green","Industrial",0,0,"source"
"Water quality->Physical health","Sims_Mod_20","Industrial","green","Industrial",0,0,"source"
"Social cohesion->Mental health","Sims_Mod_21","Industrial","green","Industrial",0,0,"source"
"Toxics-*Physical health","Sims_Mod_22","Industrial","green","Industrial",0,0,"source"
"Biodiversity->Salmon","Sims_Mod_23","Industrial","green","Industrial",0,0,"source"
"Urban heat island-*Biodiversity","Sims_Mod_24","Industrial","green","Industrial",0,0,"source"
"Bacteria-*Physical health","Sims_Mod_25","Industrial","green","Industrial",0,0,"source"
"Air quality->Social cohesion","Sims_Mod_26","Industrial","green","Industrial",0,0,"source"
"Access to nature->Social cohesion","Sims_Mod_27","Industrial","green","Industrial",0,0,"source"
"Transportation->Noise","Sims_Mod_28","Industrial","green","Industrial",0,0,"source"
"Water quality->Biodiversity","Sims_Mod_29","Industrial","green","Industrial",0,0,"source"
"Noise-*Biodiversity","Sims_Mod_30","Industrial","green","Industrial",0,0,"source"
"Salmon->Physical health","Sims_Mod_31","Industrial","green","Industrial",0,0,"source"
"Climate mitigation->Salmon","Sims_Mod_32","Industrial","green","Industrial",0,0,"source"
"Climate mitigation-*Water temperature","Sims_Mod_33","Industrial","green","Industrial",0,0,"source"
"Climate mitigation->Biodiversity","Sims_Mod_34","Industrial","green","Industrial",0,0,"source"
"Access to nature->Physical health","Sims_Mod_35","Industrial","green","Industrial",0,0,"source"
"Flooding-*Air quality","Sims_Mod_36","Industrial","green","Industrial",0,0,"source"
"Industrial->Noise","Sims_Mod_37","Industrial","green","Industrial",0,0,"source"
"Transportation-*Air quality","Sims_Mod_38","Industrial","green","Industrial",0,0,"source"
"Economic wellbeing->Physical health","Sims_Mod_39","Industrial","green","Industrial",0,0,"source"
"Affordability->Economic wellbeing","Sims_Mod_40","Industrial","green","Industrial",0,0,"source"
"Access to nature-*Affordability","Sims_Mod_41","Industrial","green","Industrial",0,0,"source"
"Local foods->Social cohesion","Sims_Mod_42","Industrial","green","Industrial",0,0,"source"
"Salmon->Local foods","Sims_Mod_43","Industrial","green","Industrial",0,0,"source"
"Water quality->Local foods","Sims_Mod_44","Industrial","green","Industrial",0,0,"source"
"Toxics-*Water quality","Sims_Mod_45","Industrial","green","Industrial",0,0,"source"
"Local foods->Physical health","Sims_Mod_46","Industrial","green","Industrial",0,0,"source"
"Water quality->Social cohesion","Sims_Mod_47","Industrial","green","Industrial",0,0,"source"
"Local jobs->Economic wellbeing","Sims_Mod_48","Industrial","green","Industrial",0,0,"source"
"Walkability->Climate mitigation","Sims_Mod_49","Industrial","green","Industrial",0,0,"source"
"Walkability->Affordability","Sims_Mod_50","Industrial","green","Industrial",0,0,"source"
"Access to nature->Walkability","Sims_Mod_51","Industrial","green","Industrial",0,0,"source"
"Walkability->Social cohesion","Sims_Mod_52","Industrial","green","Industrial",0,0,"source"
"Walkability->Air quality","Sims_Mod_53","Industrial","green","Industrial",0,0,"source"
"Walkability-*Noise","Sims_Mod_54","Industrial","green","Industrial",0,0,"source"
"Industrial->Water temperature","Sims_Mod_55","Industrial","green","Industrial",0,0,"source"
"Toxics-*Biodiversity","Sims_Mod_56","Industrial","green","Industrial",0,0,"source"
"Noise-*Physical health","Sims_Mod_57","Industrial","green","Industrial",0,0,"source"
"Access to nature->Mental health","Sims_Mod_58","Industrial","green","Industrial",0,0,"source"
"Local foods->Affordability","Sims_Mod_59","Industrial","green","Industrial",0,0,"source"
"Water temperature-*Water quality","Sims_Mod_60","Industrial","green","Industrial",0,0,"source"
"Bacteria-*Water quality","Sims_Mod_61","Industrial","green","Industrial",0,0,"source"
"Bacteria-*Local foods","Sims_Mod_62","Industrial","green","Industrial",0,0,"source"
"Walkability->Physical health","Sims_Mod_63","Industrial","green","Industrial",0,0,"source"
"Flooding-*Property value","Sims_Mod_64","Industrial","green","Industrial",0,0,"source"
"Property value-*Affordability","Sims_Mod_65","Industrial","green","Industrial",0,0,"source"
"Noise-*Property value","Sims_Mod_66","Industrial","green","Industrial",0,0,"source"
"Access to nature->Property value","Sims_Mod_67","Industrial","green","Industrial",0,0,"source"
"Industrial-*Property value","Sims_Mod_68","Industrial","green","Industrial",0,0,"source"
"Transportation->Property value","Sims_Mod_69","Industrial","green","Industrial",0,0,"source"
"Walkability->Property value","Sims_Mod_70","Industrial","green","Industrial",0,0,"source"
"Property value->Economic wellbeing","Sims_Mod_71","Industrial","green","Industrial",0,0,"source"
"Local jobs->Property value","Sims_Mod_72","Industrial","green","Industrial",0,0,"source"
"Gray infrastructure-*Flooding","Sims_Mod_73","Industrial","green","Industrial",0,0,"source"
"Gray infrastructure-*Sediment","Sims_Mod_74","Industrial","green","Industrial",0,0,"source"
"Gray infrastructure-*Toxics","Sims_Mod_75","Industrial","green","Industrial",0,0,"source"
"Green infrastructure-*Toxics","Sims_Mod_76","Industrial","green","Industrial",0,0,"source"
"Green infrastructure->Access to nature","Sims_Mod_77","Industrial","green","Industrial",0,0,"source"
"Green infrastructure->Climate mitigation","Sims_Mod_78","Industrial","green","Industrial",0,0,"source"
"Green infrastructure-*Noise","Sims_Mod_79","Industrial","green","Industrial",0,0,"source"
"Gray infrastructure->Local jobs","Sims_Mod_80","Industrial","green","Industrial",0,0,"source"
"Green infrastructure->Local jobs","Sims_Mod_81","Industrial","green","Industrial",0,0,"source"
"Source control-*Toxics","Sims_Mod_82","Industrial","green","Industrial",0,0,"source"
"Green infrastructure-*Flooding","Sims_Mod_83","Industrial","green","Industrial",0,0,"source"
"Green infrastructure->Air quality","Sims_Mod_84","Industrial","green","Industrial",0,0,"source"
"Green infrastructure-*Urban heat island","Sims_Mod_85","Industrial","green","Industrial",0,0,"source"
"Toxics-*Salmon","Sims_Mod_86","Industrial","green","Industrial",0,0,"source"
"Noise-*Mental health","Sims_Mod_87","Industrial","green","Industrial",0,0,"source"
"Urban heat island->Water temperature","Sims_Mod_88","Industrial","green","Industrial",0,0,"source"
"Economic wellbeing->Mental health","Sims_Mod_89","Industrial","green","Industrial",0,0,"source"
"Biodiversity->Local foods","Sims_Mod_90","Industrial","green","Industrial",0,0,"source"
"Local jobs->Social cohesion","Sims_Mod_91","Industrial","green","Industrial",0,0,"source"
"Access to nature->Local foods","Sims_Mod_92","Industrial","green","Industrial",0,0,"source"
"Local foods->Mental health","Sims_Mod_93","Industrial","green","Industrial",0,0,"source"
"Noise-*Social cohesion","Sims_Mod_94","Industrial","green","Industrial",0,0,"source"
"Industrial-*Air quality","Sims_Mod_95","Industrial","green","Industrial",0,0,"source"
"Industrial->Local jobs","Sims_Mod_96","Industrial","green","Industrial",0,0,"source"
"Climate mitigation-*Urban heat island","Sims_Mod_97","Industrial","green","Industrial",0,0,"source"
"Industrial->Urban heat island","Sims_Mod_98","Industrial","green","Industrial",0,0,"source"
"Transportation->Urban heat island","Sims_Mod_99","Industrial","green","Industrial",0,0,"source"
"Green infrastructure-*Sediment","Sims_Mod_100","Industrial","green","Industrial",0,0,"source"
"Physical health->Mental health","Sims_Mod_101","Industrial","green","Industrial",0,0,"source"
"Salmon->Biodiversity","Sims_Mod_102","Industrial","green","Industrial",0,0,"source"
"Physical health->Economic wellbeing","Sims_Mod_103","Industrial","green","Industrial",0,0,"source"
"Economic wellbeing->Affordability","Sims_Mod_104","Industrial","green","Industrial",0,0,"source"
"Mental health->Economic wellbeing","Sims_Mod_105","Industrial","green","Industrial",0,0,"source"
"Residential->Toxics","Sims_Mod_1","Industrial","source","Local foods",0.002,0.2,"human"
"Industrial->Toxics","Sims_Mod_2","Industrial","source","Local foods",0.132,13.2,"human"
"Transportation->Toxics","Sims_Mod_3","Industrial","source","Local foods",0.012,1.2,"human"
"Transportation->Water temperature","Sims_Mod_4","Industrial","source","Local foods",0.034,3.4,"human"
"Transportation->Flooding","Sims_Mod_5","Industrial","source","Local foods",0.00800000000000001,0.800000000000001,"human"
"Residential->Nutrients","Sims_Mod_6","Industrial","source","Local foods",0.0580000000000001,5.80000000000001,"human"
"Residential->Sediment","Sims_Mod_7","Industrial","source","Local foods",0.03,3,"human"
"Residential->Bacteria","Sims_Mod_8","Industrial","source","Local foods",0.03,3,"human"
"Industrial->Sediment","Sims_Mod_9","Industrial","source","Local foods",0.0620000000000001,6.20000000000001,"human"
"Industrial->Flooding","Sims_Mod_10","Industrial","source","Local foods",0.136,13.6,"human"
"Flooding->Bacteria","Sims_Mod_11","Industrial","source","Local foods",0.0860000000000001,8.60000000000001,"human"
"Flooding-*Salmon","Sims_Mod_12","Industrial","source","Local foods",0.01,1,"human"
